POSITION,NUMBER,LAPS,TOTAL_TIME,FL_TIME,FL_LAPNUM
1,55,26,46:41.553,1:39.748,7
2,2,26,46:41.723,1:40.305,4
3,13,26,46:41.980,1:40.133,4
4,46,26,46:42.568,1:40.229,9
5,98,26,46:42.814,1:40.062,10
6,47,26,46:44.251,1:40.322,10
7,113,26,46:45.358,1:40.717,23
8,22,26,46:46.438,1:40.156,8
9,21,26,46:49.427,1:40.814,6
10,88,26,46:49.640,1:40.370,6
11,51,26,46:52.339,1:41.043,20
12,5,26,46:52.675,1:40.989,22
13,89,26,46:53.345,1:41.322,18
14,111,26,46:53.668,1:41.405,24
15,3,26,46:54.155,1:41.384,18
16,21,26,46:55.460,1:41.152,11
17,93,26,47:01.456,1:42.091,10
18,61,26,47:01.592,1:41.811,6
19,11,26,47:05.386,1:41.713,9
20,18,26,47:09.516,1:41.873,6
21,3,26,47:10.548,1:42.306,6
22,20,26,47:41.261,1:45.118,23
23,8,26,48:30.131,1:43.621,17
24,57,25,47:42.260,1:43.284,4
25,72,19,36:35.880,1:40.040,6
26,80,13,23:40.090,1:41.547,3
27,7,11,18:29.347,1:40.271,8
28,31,2,3:34.801,1:47.868,2
29,86,1,1:54.101,,0
